municipio,PIB
IBITINGA,29806.16
IBIUNA,29054.31
ICEM,22818.54
IEPE,46407.90
IGARACU DO TIETE,14530.05
IGARAPAVA,45979.96
IGARATA,24096.53
IGUAPE,36666.83
ILHA COMPRIDA,74686.41
ILHA SOLTEIRA,26348.44
ILHABELA,321243.49
INDAIATUBA,75532.69
INDIANA,17599.46
INDIAPORA,27174.00
INUBIA PAULISTA,32308.65
IPAUSSU,30925.49
IPERO,23182.72
IPEUNA,120822.75
IPIGUA,21633.62
IPORANGA,14406.07
IPUA,28069.15
IRACEMAPOLIS,87408.57
IRAPUA,22504.13
IRAPURU,14229.14
ITABERA,44835.38
ITAI,34154.87
ITAJOBI,62634.99
ITAJU,26398.31
ITANHAEM,22235.09
ITAOCA,15226.61
ITAPECERICA DA SERRA,25535.87
ITAPETININGA,33296.97
ITAPEVA,44840.08
ITAPEVI,52938.33
ITAPIRA,57802.22
ITAPIRAPUA PAULISTA,11650.03
ITAPOLIS,37663.02
ITAPORANGA,26310.58
ITAPUI,63248.25
ITAPURA,21796.17
ITAQUAQUECETUBA,20701.92
ITARARE,22525.11
ITARIRI,20686.07
ITATIBA,60734.45
ITATINGA,20813.63
ITIRAPINA,41139.14
ITIRAPUA,21105.67
ITOBI,20745.77
ITU,54246.84
ITUPEVA,143655.62
ITUVERAVA,44949.37
JABORANDI,22965.83
JABOTICABAL,42712.49
JACAREI,61922.71
JACI,80256.42
JACUPIRANGA,30171.43
JAGUARIUNA,209746.70
JALES,37540.27
JAMBEIRO,43418.23
JANDIRA,37190.82
JARDINOPOLIS,32270.35
JARINU,87308.81
JAU,34243.05
JERIQUARA,41873.34
JOANOPOLIS,18315.36
JOAO RAMALHO,30043.76
JOSE BONIFACIO,37258.16
JULIO MESQUITA,12108.66
JUMIRIM,52124.48
JUNDIAI,125879.69
JUNQUEIROPOLIS,36905.91
JUQUIA,19184.83
JUQUITIBA,18003.08
LAGOINHA,14406.18
LARANJAL PAULISTA,45050.48
LAVINIA,21435.27
LAVRINHAS,16838.00
LEME,37310.51
LENCOIS PAULISTA,64176.02
LIMEIRA,46244.26
LINDOIA,28609.74
LINS,83775.76
LORENA,35835.51
LOURDES,21184.30
LOUVEIRA,369866.41
LUCELIA,24580.63
LUCIANOPOLIS,33231.71
LUIS ANTONIO,102392.29
LUIZIANIA,14541.10
LUPERCIO,20964.49
LUTECIA,36124.59
MACATUBA,44779.44
MACAUBAL,24084.39
MACEDONIA,24361.11
MAGDA,32287.44
MAIRINQUE,46288.61
MAIRIPORA,19580.66
MANDURI,27310.27
MARABA PAULISTA,24777.73
MARACAI,36785.52
MARAPOAMA,101792.91
MARIAPOLIS,16508.94
MARILIA,37574.28
MARINOPOLIS,18988.70
MARTINOPOLIS,26267.40
MATAO,55179.60
MAUA,37222.76
MENDONCA,59273.65
MERIDIANO,108702.38
MESOPOLIS,39279.47
MIGUELOPOLIS,48900.92
MINEIROS DO TIETE,16548.73
MIRA ESTRELA,24343.91
MIRACATU,21203.88
MIRANDOPOLIS,24063.49
MIRANTE DO PARANAPANEMA,30929.99
MIRASSOL,39075.02
MIRASSOLANDIA,34566.71
MOCOCA,39117.36
MOGI DAS CRUZES,39186.49
MOGI GUACU,41585.92
MOGI MIRIM,55775.35
MOMBUCA,30213.09
MONCOES,29785.75
MONGAGUA,22315.41
MONTE ALEGRE DO SUL,28440.49
MONTE ALTO,44860.04
MONTE APRAZIVEL,30965.48
MONTE AZUL PAULISTA,31828.36
MONTE CASTELO,29789.35
MONTE MOR,61791.20
